"name"	"taxRank"	"taxID"	"Max"	"ERR14789028.cladeReads.."	"ERR14789029.cladeReads.."	"ERR14789030.cladeReads.."	"ERR14789031.cladeReads.."	"ERR14789032.cladeReads.."	"ERR14789033.cladeReads.."	"ERR14789038.cladeReads.."	"ERR14789039.cladeReads.."	"ERR14789040.cladeReads.."	"ERR14789041.cladeReads.."	"ERR14789042.cladeReads.."	"ERR14789368.cladeReads.."	"ERR14789369.cladeReads.."	"ERR14789370.cladeReads.."	"ERR14789371.cladeReads.."	"ERR14789372.cladeReads.."	"ERR14789378.cladeReads.."	"ERR14789379.cladeReads.."	"ERR14789380.cladeReads.."	"ERR14789381.cladeReads.."	"ERR14789382.cladeReads.."	"Max.1"	"ERR14789028.taxonReads.."	"ERR14789029.taxonReads.."	"ERR14789030.taxonReads.."	"ERR14789031.taxonReads.."	"ERR14789032.taxonReads.."	"ERR14789033.taxonReads.."	"ERR14789038.taxonReads.."	"ERR14789039.taxonReads.."	"ERR14789040.taxonReads.."	"ERR14789041.taxonReads.."	"ERR14789042.taxonReads.."	"ERR14789368.taxonReads.."	"ERR14789369.taxonReads.."	"ERR14789370.taxonReads.."	"ERR14789371.taxonReads.."	"ERR14789372.taxonReads.."	"ERR14789378.taxonReads.."	"ERR14789379.taxonReads.."	"ERR14789380.taxonReads.."	"ERR14789381.taxonReads.."	"ERR14789382.taxonReads.."	"lineage"
"Mamastrovirus hominis"	"S"	3430629	27.6	16.72	13.01	17.77	19.49	14.9	24.53	10.78	17.44	22.66	16.19	9.603	0.1955	0.2245	27.6	15.7	9.332	1.869	NA	17.49	NA	26.52	27.6	16.72	13.01	17.77	19.49	14.9	24.53	10.78	17.44	22.66	16.19	9.603	0.1955	0.2245	27.6	15.7	9.332	1.869	NA	17.49	NA	26.52	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus"
"Feline astrovirus 2"	"S"	1389204	2.166	1.143	1.594	1.264	2.166	1.402	1.532	0.3821	1.202	1.192	0.5514	0.1725	NA	NA	0.9534	0.6064	NA	0.04478	NA	1.938	NA	1.795	2.166	1.143	1.594	1.264	2.166	1.402	1.532	0.3821	1.202	1.192	0.5514	0.1725	NA	NA	0.9534	0.6064	NA	0.04478	NA	1.938	NA	1.795	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"Canine astrovirus"	"S"	1157338	1.2	1.123	1.132	0.3825	0.961	0.8096	0.2913	0.2165	0.5396	0.4286	0.8058	1.182	NA	NA	0.3	0.7294	1.2	0.08094	NA	0.8705	NA	0.2918	1.2	1.123	1.132	0.3825	0.961	0.8096	0.2913	0.2165	0.5396	0.4286	0.8058	1.182	NA	NA	0.3	0.7294	1.2	0.08094	NA	0.8705	NA	0.2918	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"Porcine astrovirus 4"	"S"	1105379	2.098	1.081	1.251	0.5178	1.064	2.098	NA	0.3354	0.5712	0.9356	1.032	1.541	NA	NA	0.3893	0.7558	1.604	0.1102	NA	1.274	NA	NA	2.098	1.081	1.251	0.5178	1.064	2.098	NA	0.3354	0.5712	0.9356	1.032	1.541	NA	NA	0.3893	0.7558	1.604	0.1102	NA	1.274	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"HMO Astrovirus A"	"S"	682382	1.639	0.744	0.5769	0.7651	0.9443	1.639	0.8317	0.4394	0.7289	1.143	0.4383	0.9284	NA	NA	0.7922	0.3955	0.9255	0.05683	NA	0.9949	NA	0.7967	1.639	0.744	0.5769	0.7651	0.9443	1.639	0.8317	0.4394	0.7289	1.143	0.4383	0.9284	NA	NA	0.7922	0.3955	0.9255	0.05683	NA	0.9949	NA	0.7967	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"Astrovirus wild boar/WBAstV-1/2011/HUN"	"S"	1137931	1.392	0.6818	0.6361	0.2939	0.971	1.392	NA	0.4733	0.3294	0.7613	0.6927	0.1321	NA	NA	0.3583	0.6327	0.1878	0.2239	NA	0.7719	NA	NA	1.392	0.6818	0.6361	0.2939	0.971	1.392	NA	0.4733	0.3294	0.7613	0.6927	0.1321	NA	NA	0.3583	0.6327	0.1878	0.2239	NA	0.7719	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"Porcine astrovirus 2"	"S"	1105378	0.2487	0.2487	0.2134	0.1819	0.04338	0.2468	NA	0.0658	0.1752	0.06446	0.106	NA	NA	NA	0.04587	0.1406	NA	NA	NA	NA	NA	NA	0.2487	0.2487	0.2134	0.1819	0.04338	0.2468	NA	0.0658	0.1752	0.06446	0.106	NA	NA	NA	0.04587	0.1406	NA	NA	NA	NA	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"Rabbit astrovirus TN/2208/2010"	"S"	1161132	0.1857	0.1501	0.1857	NA	NA	NA	NA	NA	NA	0.01742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1857	0.1501	0.1857	NA	NA	NA	NA	NA	NA	0.01742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"Porcine astrovirus 3"	"S"	1254425	0.3665	0.1179	0.1027	NA	0.0367	0.1629	0.3665	0.1083	0.1191	0.06969	0.2474	NA	NA	NA	0.02975	0.167	NA	0.04133	NA	0.04717	NA	0.3628	0.3665	0.1179	0.1027	NA	0.0367	0.1629	0.3665	0.1083	0.1191	0.06969	0.2474	NA	NA	NA	0.02975	0.167	NA	0.04133	NA	0.04717	NA	0.3628	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"Bovine astrovirus B76-2/HK"	"S"	1027247	0.2787	0.1351	0.1383	NA	0.1902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2787	NA	NA	0.2787	0.1351	0.1383	NA	0.1902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2787	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"Dromedary astrovirus"	"S"	1662272	0.06006	0.04502	0.03161	NA	0.06006	NA	NA	0.02123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05146	NA	NA	0.06006	0.04502	0.03161	NA	0.06006	NA	NA	0.02123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05146	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"Mamastrovirus melbournense"	"S"	3430631	4.535	3.962	3.437	1.745	0.7074	2.38	1.819	2.25	1.563	2.909	3.874	4.535	NA	NA	3.172	3.981	4.444	0.7595	NA	0.7118	NA	1.807	4.535	3.962	3.437	1.745	0.7074	2.38	1.819	2.25	1.563	2.909	3.874	4.535	NA	NA	3.172	3.981	4.444	0.7595	NA	0.7118	NA	1.807	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus"
"Mamastrovirus taphozoi"	"S"	3430638	0.339	0.2959	0.1264	0.1726	0.2169	NA	0.2537	0.03821	0.09461	0.0784	0.07069	NA	NA	NA	0.2083	NA	0.339	NA	NA	0.1844	NA	0.2356	0.339	0.2959	0.1264	0.1726	0.2169	NA	0.2537	0.03821	0.09461	0.0784	0.07069	NA	NA	NA	0.2083	NA	0.339	NA	NA	0.1844	NA	0.2356	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus"
"Mamastrovirus felis"	"S"	3430626	0.3023	0.2165	0.3023	0.05598	0.08676	0.1777	NA	0.09552	0.05256	0.1446	NA	NA	NA	NA	NA	0.08788	NA	NA	NA	NA	NA	NA	0.3023	0.2165	0.3023	0.05598	0.08676	0.1777	NA	0.09552	0.05256	0.1446	NA	NA	NA	NA	NA	0.08788	NA	NA	NA	NA	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus"
"Mamastrovirus virginiaense"	"S"	3430641	0.898	0.09005	0.07507	0.112	0.2236	0.06418	NA	0.02335	0.1121	0.169	0.1909	0.8293	NA	NA	0.2157	0.1846	0.898	NA	NA	0.2316	NA	NA	0.898	0.09005	0.07507	0.112	0.2236	0.06418	NA	0.02335	0.1121	0.169	0.1909	0.8293	NA	NA	0.2157	0.1846	0.898	NA	NA	0.2316	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus"
"Mamastrovirus canis"	"S"	3430625	1.37	0.1008	0.1166	NA	0.1268	0.1481	NA	0.08915	0.07008	0.1481	NA	1.035	NA	NA	0.1351	NA	1.37	NA	NA	0.1158	NA	NA	1.37	0.1008	0.1166	NA	0.1268	0.1481	NA	0.08915	0.07008	0.1481	NA	1.035	NA	NA	0.1351	NA	1.37	NA	NA	0.1158	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus"
"Mamastrovirus suis"	"S"	3430637	0.2132	0.02144	NA	NA	0.0367	0.1333	0.1927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05575	NA	0.2132	0.2132	0.02144	NA	NA	0.0367	0.1333	0.1927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05575	NA	0.2132	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus"
"Human astrovirus"	"S"	1868658	21.92	5.377	4.872	8.63	6.053	5.969	10.36	5.081	8.638	15.52	10.83	8.708	0.1304	0.1069	21.92	11	8.008	2.94	NA	6.184	NA	10.25	21.92	5.377	4.872	8.63	6.053	5.969	10.36	5.081	8.638	15.52	10.83	8.708	0.1304	0.1069	21.92	11	8.008	2.94	NA	6.184	NA	10.25	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>unclassified&nbsp;Astroviridae"
