"name"	"taxRank"	"taxID"	"Max"	"ERR14789028.cladeReads"	"ERR14789029.cladeReads"	"ERR14789030.cladeReads"	"ERR14789031.cladeReads"	"ERR14789032.cladeReads"	"ERR14789033.cladeReads"	"ERR14789038.cladeReads"	"ERR14789039.cladeReads"	"ERR14789040.cladeReads"	"ERR14789041.cladeReads"	"ERR14789042.cladeReads"	"ERR14789368.cladeReads"	"ERR14789369.cladeReads"	"ERR14789370.cladeReads"	"ERR14789371.cladeReads"	"ERR14789372.cladeReads"	"ERR14789378.cladeReads"	"ERR14789379.cladeReads"	"ERR14789380.cladeReads"	"ERR14789381.cladeReads"	"ERR14789382.cladeReads"	"lineage"
"root><wbr>...><wbr>Mamastrovirus hominis"	"S"	3430629	22259	7797	6588	3809	5840	3018	5221	5079	4978	13008	2290	2617	18	21	22259	1786	2037	1085	NA	4078	NA	7089	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus"
"root><wbr>...><wbr>Feline astrovirus 2"	"S"	1389204	807	533	807	271	649	284	326	180	343	684	78	47	NA	NA	769	69	NA	26	NA	452	NA	480	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Canine astrovirus"	"S"	1157338	573	524	573	82	288	164	62	102	154	246	114	322	NA	NA	242	83	262	47	NA	203	NA	78	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Porcine astrovirus 4"	"S"	1105379	633	504	633	111	319	425	NA	158	163	537	146	420	NA	NA	314	86	350	64	NA	297	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>HMO Astrovirus A"	"S"	682382	656	347	292	164	283	332	177	207	208	656	62	253	NA	NA	639	45	202	33	NA	232	NA	213	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Astrovirus wild boar/WBAstV-1/2011/HUN"	"S"	1137931	437	318	322	63	291	282	NA	223	94	437	98	36	NA	NA	289	72	41	130	NA	180	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Porcine astrovirus 2"	"S"	1105378	116	116	108	39	13	50	NA	31	50	37	15	NA	NA	NA	37	16	NA	NA	NA	NA	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Rabbit astrovirus TN/2208/2010"	"S"	1161132	94	70	94	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Porcine astrovirus 3"	"S"	1254425	97	55	52	NA	11	33	78	51	34	40	35	NA	NA	NA	24	19	NA	24	NA	11	NA	97	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Bovine astrovirus B76-2/HK"	"S"	1027247	70	63	70	NA	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Dromedary astrovirus"	"S"	1662272	21	21	16	NA	18	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
