"name"	"taxRank"	"taxID"	"Max"	"ERR14789028.cladeReads...z.score"	"ERR14789029.cladeReads...z.score"	"ERR14789030.cladeReads...z.score"	"ERR14789031.cladeReads...z.score"	"ERR14789032.cladeReads...z.score"	"ERR14789033.cladeReads...z.score"	"ERR14789038.cladeReads...z.score"	"ERR14789039.cladeReads...z.score"	"ERR14789040.cladeReads...z.score"	"ERR14789041.cladeReads...z.score"	"ERR14789042.cladeReads...z.score"	"ERR14789368.cladeReads...z.score"	"ERR14789369.cladeReads...z.score"	"ERR14789370.cladeReads...z.score"	"ERR14789371.cladeReads...z.score"	"ERR14789372.cladeReads...z.score"	"ERR14789378.cladeReads...z.score"	"ERR14789379.cladeReads...z.score"	"ERR14789380.cladeReads...z.score"	"ERR14789381.cladeReads...z.score"	"ERR14789382.cladeReads...z.score"	"Max.1"	"ERR14789028.taxonReads...z.score"	"ERR14789029.taxonReads...z.score"	"ERR14789030.taxonReads...z.score"	"ERR14789031.taxonReads...z.score"	"ERR14789032.taxonReads...z.score"	"ERR14789033.taxonReads...z.score"	"ERR14789038.taxonReads...z.score"	"ERR14789039.taxonReads...z.score"	"ERR14789040.taxonReads...z.score"	"ERR14789041.taxonReads...z.score"	"ERR14789042.taxonReads...z.score"	"ERR14789368.taxonReads...z.score"	"ERR14789369.taxonReads...z.score"	"ERR14789370.taxonReads...z.score"	"ERR14789371.taxonReads...z.score"	"ERR14789372.taxonReads...z.score"	"ERR14789378.taxonReads...z.score"	"ERR14789379.taxonReads...z.score"	"ERR14789380.taxonReads...z.score"	"ERR14789381.taxonReads...z.score"	"ERR14789382.taxonReads...z.score"	"lineage"
"root><wbr>...><wbr>Mamastrovirus hominis"	"S"	3430629	1.316	0.1128	-0.2976	0.229	0.4193	-0.0885	0.9768	-0.5443	0.1925	0.77	0.05421	-0.6745	-1.715	-1.712	1.316	NA	-0.7045	-1.53	NA	0.198	NA	1.197	1.316	0.1128	-0.2976	0.229	0.4193	-0.0885	0.9768	-0.5443	0.1925	0.77	0.05421	-0.6745	-1.715	-1.712	1.316	NA	-0.7045	-1.53	NA	0.198	NA	1.197	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus"
"root><wbr>...><wbr>Feline astrovirus 2"	"S"	1389204	1.277	0.1996	0.6745	0.327	1.277	0.4723	0.6092	-0.6015	0.2618	0.2512	-0.4233	-0.8222	NA	NA	NA	-0.3654	NA	-0.9567	NA	1.037	NA	0.8861	1.277	0.1996	0.6745	0.327	1.277	0.4723	0.6092	-0.6015	0.2618	0.2512	-0.4233	-0.8222	NA	NA	NA	-0.3654	NA	-0.9567	NA	1.037	NA	0.8861	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Canine astrovirus"	"S"	1157338	1.366	1.229	1.245	-0.08161	0.9425	0.6745	-0.2431	-0.3755	0.1965	NA	0.6678	1.334	NA	NA	-0.2277	0.5325	1.366	-0.6155	NA	0.7823	NA	-0.2422	1.366	1.229	1.245	-0.08161	0.9425	0.6745	-0.2431	-0.3755	0.1965	NA	0.6678	1.334	NA	NA	-0.2277	0.5325	1.366	-0.6155	NA	0.7823	NA	-0.2422	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Porcine astrovirus 4"	"S"	1105379	1.803	0.602	0.8027	-0.06306	0.5819	1.803	NA	-0.2784	NA	0.4303	0.5441	1.145	NA	NA	-0.2148	0.218	1.22	-0.5444	NA	0.8299	NA	NA	1.803	0.602	0.8027	-0.06306	0.5819	1.803	NA	-0.2784	NA	0.4303	0.5441	1.145	NA	NA	-0.2148	0.218	1.22	-0.5444	NA	0.8299	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>HMO Astrovirus A"	"S"	682382	2.406	NA	-0.4492	0.05672	0.5385	2.406	0.2358	-0.8189	-0.04059	1.073	-0.8218	0.4957	NA	NA	0.1296	-0.9369	0.4879	-1.847	NA	0.6745	NA	0.1417	2.406	NA	-0.4492	0.05672	0.5385	2.406	0.2358	-0.8189	-0.04059	1.073	-0.8218	0.4957	NA	NA	0.1296	-0.9369	0.4879	-1.847	NA	0.6745	NA	0.1417	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Astrovirus wild boar/WBAstV-1/2011/HUN"	"S"	1137931	2.176	0.7216	0.628	-0.07269	1.314	2.176	NA	0.2947	NA	0.8844	0.7439	-0.404	NA	NA	0.05918	0.621	-0.2899	-0.216	NA	0.9061	NA	NA	2.176	0.7216	0.628	-0.07269	1.314	2.176	NA	0.2947	NA	0.8844	0.7439	-0.404	NA	NA	0.05918	0.621	-0.2899	-0.216	NA	0.9061	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Porcine astrovirus 2"	"S"	1105378	3.192	3.192	2.644	2.154	NA	3.163	NA	0.3486	2.05	0.3278	0.9736	NA	NA	NA	0.03872	1.512	NA	NA	NA	NA	NA	NA	3.192	3.192	2.644	2.154	NA	3.163	NA	0.3486	2.05	0.3278	0.9736	NA	NA	NA	0.03872	1.512	NA	NA	NA	NA	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Rabbit astrovirus TN/2208/2010"	"S"	1161132	185.7	150.1	185.7	NA	NA	NA	NA	NA	NA	17.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	185.7	150.1	185.7	NA	NA	NA	NA	NA	NA	17.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Porcine astrovirus 3"	"S"	1254425	4.566	1.011	0.794	NA	-0.1497	1.655	4.566	0.8741	1.029	0.322	2.863	NA	NA	NA	-0.2491	1.713	NA	-0.08351	NA	NA	NA	4.513	4.566	1.011	0.794	NA	-0.1497	1.655	4.566	0.8741	1.029	0.322	2.863	NA	NA	NA	-0.2491	1.713	NA	-0.08351	NA	NA	NA	4.513	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Bovine astrovirus B76-2/HK"	"S"	1027247	278.7	135.1	138.3	NA	190.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	278.7	NA	NA	278.7	135.1	138.3	NA	190.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	278.7	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
"root><wbr>...><wbr>Dromedary astrovirus"	"S"	1662272	60.06	45.02	31.61	NA	60.06	NA	NA	21.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.46	NA	NA	60.06	45.02	31.61	NA	60.06	NA	NA	21.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.46	NA	NA	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Stelpaviricetes>Stellavirales>Astroviridae>Mamastrovirus>unclassified&nbsp;Mamastrovirus"
